pdb_code,filename,3pHLA
1A1M.pdb,pMHC_0019.pdb,0.5519243203025666
1A1M.pdb,pMHC_0016.pdb,0.552884694549174
1A1M.pdb,pMHC_0018.pdb,0.5534202496000099
1A1M.pdb,pMHC_0045.pdb,0.5488562356514378
1A1M.pdb,pMHC_0000.pdb,0.5534259801742496
1A1M.pdb,pMHC_0096.pdb,0.34132187670360414
1A1M.pdb,pMHC_0004.pdb,0.553504572561688
1A1M.pdb,pMHC_0013.pdb,0.5525171660477387
1A1M.pdb,pMHC_0008.pdb,0.5532916469293063
1A1M.pdb,pMHC_0011.pdb,0.5523266357319612
1A1M.pdb,pMHC_0002.pdb,0.5530934748096905
1A1M.pdb,pMHC_0010.pdb,0.5491785754018947
1A1M.pdb,pMHC_0003.pdb,0.5535873679604947
1A1M.pdb,pMHC_0006.pdb,0.552662152846341
1A1M.pdb,pMHC_0014.pdb,0.5505288418704143
1A1M.pdb,pMHC_0061.pdb,0.3098933056211073
1A1M.pdb,pMHC_0053.pdb,0.517047552651493
1A1M.pdb,pMHC_0005.pdb,0.5524527299530233
1A1M.pdb,pMHC_0012.pdb,0.5511866608103039
1A1M.pdb,pMHC_0001.pdb,0.5506904040690297
1A1M.pdb,pMHC_0015.pdb,0.5532557120484406
1A1M.pdb,pMHC_0066.pdb,0.501424123038315
1A1M.pdb,pMHC_0017.pdb,0.552450935561665
1A1M.pdb,pMHC_0009.pdb,0.5530441246120357
1A1M.pdb,pMHC_0007.pdb,0.5531441983715442
1A1N.pdb,pMHC_108.pdb,0.5673442955505549
1A1N.pdb,pMHC_008.pdb,0.5622001304466264
1A1N.pdb,pMHC_101.pdb,0.5673298623935595
1A1N.pdb,pMHC_115.pdb,0.5684642508904382
1A1N.pdb,pMHC_146.pdb,0.5648964595963596
1A1N.pdb,pMHC_125.pdb,0.5675074598055435
1A1N.pdb,pMHC_021.pdb,0.5604113093080089
1A1N.pdb,pMHC_011.pdb,0.5660647748299223
1A1N.pdb,pMHC_126.pdb,0.5722766090064562
1A1N.pdb,pMHC_122.pdb,0.56896501961369
1A1N.pdb,pMHC_102.pdb,0.566861116067306
1A1N.pdb,pMHC_041.pdb,0.5690320760544326
1A1N.pdb,pMHC_137.pdb,0.5686917044726655
1A1N.pdb,pMHC_023.pdb,0.5655257084028231
1A1N.pdb,pMHC_107.pdb,0.5676387324318937
1A1N.pdb,pMHC_117.pdb,0.5688852450707638
1A1N.pdb,pMHC_142.pdb,0.5687695690206231
1A1N.pdb,pMHC_004.pdb,0.558551347380008
1A1N.pdb,pMHC_033.pdb,0.5692668847975183
1A1N.pdb,pMHC_007.pdb,0.5575617187719589
1A1N.pdb,pMHC_110.pdb,0.5686774737411986
1A1N.pdb,pMHC_124.pdb,0.5667506516194865
1A1N.pdb,pMHC_128.pdb,0.5687087526017471
1A1N.pdb,pMHC_139.pdb,0.5722456362615598
1A1N.pdb,pMHC_148.pdb,0.5686158173385797
1A1N.pdb,pMHC_013.pdb,0.5684914675083151
1A1N.pdb,pMHC_106.pdb,0.5617256635680639
1A1N.pdb,pMHC_006.pdb,0.5575275349311114
1A1N.pdb,pMHC_105.pdb,0.5674526464179566
1A1N.pdb,pMHC_145.pdb,0.5727607879537525
1A1N.pdb,pMHC_103.pdb,0.5673146273076681
1A1N.pdb,pMHC_141.pdb,0.5675037398934184
1A1N.pdb,pMHC_100.pdb,0.5674129655012818
1A1N.pdb,pMHC_136.pdb,0.5726953249949116
1A1N.pdb,pMHC_025.pdb,0.5657124474914369
1A1N.pdb,pMHC_138.pdb,0.5726651908264055
1A1N.pdb,pMHC_129.pdb,0.5681373901100047
1A1N.pdb,pMHC_120.pdb,0.5691466457934914
1A1N.pdb,pMHC_143.pdb,0.5682756458899132
1A1N.pdb,pMHC_135.pdb,0.5683913240275766
1A1N.pdb,pMHC_112.pdb,0.5724985628988891
1A1N.pdb,pMHC_147.pdb,0.5684853815762041
1A1N.pdb,pMHC_127.pdb,0.5684734615835447
1A1N.pdb,pMHC_001.pdb,0.5575920944764632
1A1N.pdb,pMHC_118.pdb,0.5724205914878113
1A1N.pdb,pMHC_134.pdb,0.5710478451983347
1A1N.pdb,pMHC_005.pdb,0.5595632073301693
1A1N.pdb,pMHC_123.pdb,0.5727415183681447
1A1N.pdb,pMHC_116.pdb,0.5677669396836822
1A1N.pdb,pMHC_002.pdb,0.558551347380008
1A1N.pdb,pMHC_119.pdb,0.5679376339696152
1A1N.pdb,pMHC_130.pdb,0.5683187925562594
